net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,set_size_1_err,set_size_effect,set_size_1_err_plus_effect
CORnet_S,4,YT_v_BTBL,98.75,84.375,1.25,14.375,15.625
CORnet_S,4,Bx_v_RxBo,98.75,65.625,1.25,33.125,34.375
CORnet_S,4,Bx_v_RxRo,98.125,76.25,1.875,21.875,23.75
CORnet_S,4,TvT,86.25,65.0,13.75,21.25,35.0
CORnet_S,5,RVvGV,95.625,78.75,4.375,16.875,21.25
CORnet_S,5,RVvRHGV,96.25,66.25,3.75,30.0,33.75
CORnet_S,5,PWVvCV,93.75,58.75,6.25,35.0,41.25
CORnet_S,5,PWVvPWHCV,91.875,61.25000000000001,8.125,30.624999999999993,38.74999999999999
CORnet_S,5,2_v_5,55.00000000000001,53.75,44.99999999999999,1.250000000000007,46.25
CORnet_S,5,YT_v_BTYL,86.875,63.74999999999999,13.125,23.125000000000007,36.25000000000001
CORnet_S,5,YT_v_BTBL,98.75,84.375,1.25,14.375,15.625
CORnet_S,5,Bx_v_RxBo,97.5,62.5,2.5,35.0,37.5
CORnet_S,5,Bx_v_RxRo,99.375,71.25,0.625,28.125,28.75
CORnet_S,5,TvT,86.25,66.25,13.75,20.0,33.75
CORnet_S,6,RVvGV,96.875,75.0,3.125,21.875,25.0
CORnet_S,6,RVvRHGV,95.625,66.875,4.375,28.75,33.125
CORnet_S,6,PWVvCV,90.0,57.49999999999999,10.0,32.50000000000001,42.50000000000001
CORnet_S,6,PWVvPWHCV,88.75,65.625,11.25,23.125,34.375
CORnet_S,6,2_v_5,56.25,58.12500000000001,43.75,-1.875000000000007,41.87499999999999
CORnet_S,6,YT_v_BTYL,89.375,68.75,10.625,20.625,31.25
CORnet_S,6,YT_v_BTBL,98.75,81.25,1.25,17.5,18.75
CORnet_S,6,Bx_v_RxBo,98.75,68.75,1.25,30.0,31.25
CORnet_S,6,Bx_v_RxRo,98.75,71.875,1.25,26.875,28.125
CORnet_S,6,TvT,83.75,66.25,16.25,17.5,33.75
CORnet_S,7,RVvGV,96.25,74.375,3.75,21.875,25.625
CORnet_S,7,RVvRHGV,95.0,70.0,5.0,25.0,30.0
CORnet_S,7,PWVvCV,86.25,55.625,13.75,30.625,44.375
CORnet_S,7,PWVvPWHCV,86.875,65.0,13.125,21.875,35.0
CORnet_S,7,2_v_5,56.25,56.25,43.75,0.0,43.75
CORnet_S,7,YT_v_BTYL,89.375,66.875,10.625,22.5,33.125
CORnet_S,7,YT_v_BTBL,99.375,83.75,0.625,15.625,16.25
CORnet_S,7,Bx_v_RxBo,96.25,65.625,3.75,30.625,34.375
CORnet_S,7,Bx_v_RxRo,98.125,72.5,1.875,25.625,27.5
CORnet_S,7,TvT,86.875,64.375,13.125,22.5,35.625
CORnet_S,8,RVvGV,96.875,73.75,3.125,23.125,26.25
CORnet_S,8,RVvRHGV,95.625,70.0,4.375,25.625,30.0
CORnet_S,8,PWVvCV,90.625,57.49999999999999,9.375,33.12500000000001,42.50000000000001
CORnet_S,8,PWVvPWHCV,89.375,61.875,10.625,27.5,38.125
CORnet_S,8,2_v_5,55.00000000000001,53.125,44.99999999999999,1.875000000000007,46.875
CORnet_S,8,YT_v_BTYL,90.0,70.0,10.0,20.0,30.0
CORnet_S,8,YT_v_BTBL,98.75,80.0,1.25,18.75,20.0
CORnet_S,8,Bx_v_RxBo,97.5,66.25,2.5,31.25,33.75
CORnet_S,8,Bx_v_RxRo,98.125,70.0,1.875,28.125,30.0
CORnet_S,8,TvT,81.25,66.25,18.75,15.0,33.75
